Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36415777,But Not the Armadillo,Sandra Boynton,"Boynton, Sandra",,"=""1481481002""","=""9781481481007""",0,3.87,Boynton Bookworks,Board Book,16,2018,2018,,2024/06/22,,,read,,,,1,0
28953811,Dinosaur Dance!,Sandra Boynton,"Boynton, Sandra",,"=""1481480995""","=""9781481480994""",0,4.30,Boynton Bookworks,Board Book,16,2016,2016,,2024/06/22,,,read,,,,1,0
426009,Hey! Wake Up! (Boynton on Board),Sandra Boynton,"Boynton, Sandra",,"=""0761119760""","=""9780761119760""",0,4.05,Workman Kids,Board Book,24,2000,2000,,2024/06/22,,,read,,,,1,0
12845544,Are You a Cow?,Sandra Boynton,"Boynton, Sandra",,"=""1442417331""","=""9781442417335""",0,4.17,Boynton Bookworks,Board Book,16,2012,2012,,2024/06/22,,,read,,,,1,0
8720892,"Happy Hippo, Angry Duck",Sandra Boynton,"Boynton, Sandra",,"=""1442417315""","=""9781442417311""",0,4.28,Boynton Bookworks,Board Book,16,2011,2011,,2024/06/22,,,read,,,,1,0
428080,Pajama Time!,Sandra Boynton,"Boynton, Sandra",,"=""0761119752""","=""9780761119753""",0,4.21,Workman Pub Co,Board Book,24,2001,2000,,2024/06/22,,,read,,,,1,0
49867279,Froggy Builds a Snowman,Jonathan London,"London, Jonathan",Frank Remkiewicz,"=""1984836382""","=""9781984836380""",0,3.56,Viking Books for Young Readers,Kindle Edition,32,2020,,,2024/06/22,,,read,,,,1,0
970693,Froggy's Day with Dad,Jonathan London,"London, Jonathan",Frank Remkiewicz,"=""0142406341""","=""9780142406342""",0,3.77,Puffin Books,Paperback,32,2006,2004,,2024/06/22,,,read,,,,1,0
833551,Froggy Learns to Swim,Jonathan London,"London, Jonathan",Frank Remkiewicz,"=""0140553126""","=""9780140553123""",0,3.96,Puffin Books,Paperback,32,1997,1995,,2024/06/22,,,read,,,,1,0
132609,Where's Spot?,Eric Hill,"Hill, Eric",,"=""0140504206""","=""9780140504200""",0,4.16,Puffin Books,Hardcover,20,2010,,,2024/06/22,,,read,,,,1,0
857418,The Carrot Seed,Ruth Krauss,"Krauss, Ruth",Crockett Johnson,"=""0694004928""","=""9780694004928""",0,4.08,HarperCollins,Board Book,32,2020,1945,,2024/06/22,,,read,,,,1,0
156733275,The Crayons Love Our Planet (The Crayons Celebrate),Drew Daywalt,"Daywalt, Drew",Oliver Jeffers,"=""0593621093""","=""9780593621097""",0,3.78,Philomel Books,Kindle Edition,32,2024,,,2024/06/22,,,read,,,,1,0
29639593,The Crayons' Book of Colors (My First Crayons),Drew Daywalt,"Daywalt, Drew",Oliver Jeffers,"=""0451534042""","=""9780451534040""",0,4.02,Grosset & Dunlap,Board Book,20,2016,2016,,2024/06/22,,,read,,,,1,0
1795615,The Pout-Pout Fish,Deborah Diesen,"Diesen, Deborah",Dan Hanna,"=""0374360960""","=""9780374360962""",0,4.34,"Farrar, Straus and Giroux",Hardcover,32,2008,2008,,2024/06/22,,,read,,,,1,0
206962,Hop On Pop,Dr. Seuss,"Seuss, Dr.",,"=""0007158491""","=""9780007158492""",0,4.04,HarperCollinsChildren’sBooks,Paperback,64,2003,1963,,2024/06/22,,,read,,,,1,0
475339,Madeline,Ludwig Bemelmans,"Bemelmans, Ludwig",,"=""0590133373""","=""9780590133371""",0,4.26,London: Hippo,Paperback,44,1989,1939,,2024/06/22,,,read,,,,1,0
1012082,Apples and Pumpkins,Anne Rockwell,"Rockwell, Anne",Lizzy Rockwell,"=""0689718616""","=""9780689718618""",0,3.60,Aladdin,Paperback,24,1994,1989,,2024/06/22,,,read,,,,1,0
225180,The Tooth Book,Theo LeSieg,"LeSieg, Theo","Dr. Seuss, Joe Mathieu","=""0375810390""","=""9780375810398""",0,4.07,Random House Books for Young Readers,Hardcover,48,2000,1981,,2024/06/22,,,read,,,,1,0
556511,The Very Busy Spider,Eric Carle,"Carle, Eric",,"=""0399229191""","=""9780399229190""",0,4.22,World of Eric Carle,Board book,32,1995,1984,,2024/06/22,,,read,,,,1,0
165641349,"Adam, Mine",K. Ancrum,"Ancrum, K.",,"=""""","=""""",0,5.00,HarperCollins,Unknown Binding,,2026,2026,,2024/06/18,to-read,to-read (#370),to-read,,,,0,0
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",0,4.02,Del Rey,Hardcover,438,2015,2015,,2024/06/17,to-read,to-read (#369),to-read,,,,0,0
60478017,"Radiant Sin (Dark Olympus, #4)",Katee Robert,"Robert, Katee",,"=""172825700X""","=""9781728257006""",3,3.78,Sourcebooks Casablanca,Paperback,348,2023,2023,2024/06/11,2023/01/12,,,read,,,,1,0
61272775,"Year of No Garbage: Recycling Lies, Plastic Problems, and One Woman's Trashy Journey to Zero Waste",Eve O. Schaub,"Schaub, Eve O.",,"=""1510774637""","=""9781510774636""",0,4.09,Skyhorse,Paperback,288,2023,2003,,2024/06/09,to-read,to-read (#368),to-read,,,,0,0
110384,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,"Quinn, Julia",,"=""0380820846""","=""9780380820849""",2,3.88,Avon,Mass Market Paperback,370,2002,2002,2024/06/08,2024/05/25,,,read,"I wanted to read this one to see if I could figure out why season 3 of the show was bothering me. Turns out, I don’t like Colin. That’ll do it.",,,1,0
44774415,Mooncakes,Suzanne  Walker,"Walker, Suzanne",Wendy  Xu,"=""154930304X""","=""9781549303043""",0,3.81,Oni Press,Paperback,243,2019,2019,,2024/06/02,to-read,to-read (#367),to-read,,,,0,0
5659,The Wind in the Willows,Kenneth Grahame,"Grahame, Kenneth",Gillian Avery,"=""0143039091""","=""9780143039099""",3,4.02,Penguin Books,Paperback,197,2005,1908,2024/05/30,2021/04/01,,,read,,,,1,0
204538483,"The Striker (Gods of the Game, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.76,,Kindle Edition,594,2024,2024,,2024/05/23,to-read,to-read (#366),to-read,,,,0,0
121376298,Skybriar,Talia Hibbert,"Hibbert, Talia",,"=""""","=""9780349431772""",0,4.86,Piatkus,Kindle Edition,,2027,,,2024/05/23,to-read,to-read (#365),to-read,,,,0,0
194802722,Funny Story,Emily Henry,"Henry, Emily",,"=""""","=""""",4,4.19,Berkley,Kindle Edition,395,2024,2024,2024/05/22,2023/08/26,,,read,,,,1,0
197577021,"Tangled Up in You (Meant to Be, #4)",Christina Lauren,"Lauren, Christina",,"=""1368092837""","=""9781368092838""",0,3.89,Hyperion Avenue,Paperback,320,2024,2024,,2024/05/14,to-read,to-read (#364),to-read,,,,0,0
134221617,Behind You Is the Sea,Susan Muaddi Darraj,"Darraj, Susan Muaddi",,"=""0063324237""","=""9780063324237""",0,4.07,HarperVia,Hardcover,256,2024,2024,,2024/05/13,to-read,to-read (#363),to-read,,,,0,0
52786358,Under the Rainbow,Celia Laskey,"Laskey, Celia",,"=""0525536167""","=""9780525536161""",0,3.72,Riverhead Books,Hardcover,288,2020,2020,,2024/05/13,to-read,to-read (#362),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.02,Penguin Press,Hardcover,246,2019,2019,,2024/05/13,to-read,to-read (#361),to-read,,,,0,0
46264398,Know My Name: A Memoir,Chanel Miller,"Miller, Chanel",,"=""073522370X""","=""9780735223707""",0,4.69,Viking,Hardcover,357,2019,2019,,2024/05/12,to-read,to-read (#360),to-read,,,,0,0
50892287,In a Holidaze,Christina Lauren,"Lauren, Christina",,"=""198212394X""","=""9781982123949""",0,3.67,Gallery Books,Paperback,307,2020,2020,,2024/05/09,to-read,to-read (#359),to-read,,,,0,0
48564330,Betty,Tiffany   McDaniel,"McDaniel, Tiffany",,"=""052565707X""","=""9780525657071""",0,4.40,Knopf,Hardcover,480,2020,2020,,2024/05/09,to-read,to-read (#358),to-read,,,,0,0
56377192,The Last Chance Library,Freya Sampson,"Sampson, Freya",,"=""0593201388""","=""9780593201381""",0,3.75,Berkley,Paperback,336,2021,2021,,2024/05/09,to-read,to-read (#357),to-read,,,,0,0
25953369,Hidden Figures,Margot Lee Shetterly,"Shetterly, Margot Lee",,"=""""","=""""",0,3.96,William Morrow Paperbacks,Paperback,349,2016,2016,,2024/05/08,to-read,to-read (#355),to-read,,,,0,0
27366528,"Beneath the Sugar Sky (Wayward Children, #3)",Seanan McGuire,"McGuire, Seanan",,"=""0765393581""","=""9780765393586""",4,3.84,tor.com,Hardcover,174,2018,2018,2024/05/07,2024/02/20,,,read,,,,1,0
166175422,Counting the Cost,Jill Duggar,"Duggar, Jill","Derick Dillard, Craig Borlase","=""1668024446""","=""9781668024447""",5,4.00,Gallery Books,Hardcover,288,2023,2023,2024/05/04,2023/11/14,24-in-24,24-in-24 (#3),read,,,,1,0
196845489,Oye,Melissa Mogollon,"Mogollon, Melissa",,"=""0593594908""","=""9780593594902""",0,3.62,Hogarth,Hardcover,336,2024,,,2024/05/03,to-read,to-read (#354),to-read,,,,0,0
181110014,Icarus,K. Ancrum,"Ancrum, K.",,"=""0063285789""","=""9780063285781""",4,4.00,HarperCollins,Hardcover,382,2024,2024,2024/05/01,2023/02/28,,,read,,,,1,0
134119076,"Emily Wilde’s Map of the Otherlands (Emily Wilde, #2)",Heather Fawcett,"Fawcett, Heather",,"=""0593500202""","=""9780593500200""",3,4.26,Del Rey,Kindle Edition,370,2024,2024,2024/04/25,2023/12/26,,,read,"3.5 ⭐️ I really love the characters and meeting the different folk but, when we reach the true action and climax, it feels too fast. ",,,1,0
196774347,You Should Be So Lucky,Cat Sebastian,"Sebastian, Cat",,"=""0063272806""","=""9780063272804""",0,4.28,Avon,Paperback,400,2024,2024,,2024/04/20,to-read,to-read (#353),to-read,,,,0,0
